Department or other unit,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Legislative Branch,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
Judicial Branch,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Department of Agriculture,6,6.7,6.4,5.9,4.2,3.8,4.2,4.6,4.3,4.1,4.8,4.1,3.8,4.7,4.8,5.7,6.6,6.3,5.9,6.1,6.1,6.5,4.9,5.9,5.9,4.9,4.1,4.2,3.7,4.1,4.1,4.5,4.1,3.7,3.5,3.3,3.3,3.7,4.2,3.7,3.4,3.4,3.1,3.5,3.5,3.1,3,3.3,3.7,3.9,4,4.5,4,3.8
Department of Commerce,0.2,0.3,0.6,0.6,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,1,0.7,0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2
Department of Defense--Military Programs,46.9,45.9,44.4,41.3,42.1,44.5,45.1,44,41,36.9,33.7,30.5,28.9,25.5,23.6,23.3,22.3,22.5,22.2,22.7,24.2,25.3,25.9,25.9,26.8,27.3,26.5,25.8,23.1,19.8,20.7,19.8,18.4,17.1,16.2,16.1,15.5,15.3,15.7,15.6,16.5,18,19.1,19.2,18.8,19.4,19.9,18.1,19.3,18.8,18.4,17.6,16.5,15.3
Department of Education,0.8,0.9,0.8,1,1.8,2.3,2.3,2.2,2.3,2.4,2.4,2.3,2.1,2.2,2.1,2.1,2.1,2.4,2.5,2.5,2,1.8,1.8,1.8,1.8,1.7,1.7,1.9,1.8,1.9,1.9,2.1,1.7,2.1,1.9,1.9,1.9,1.8,1.9,1.9,2.3,2.6,2.7,2.9,3.5,2.4,2.2,1.5,2.7,1.8,1.6,1.2,1.7,2.4
Department of Energy,2.6,2.4,2.3,2.2,1.7,1.4,1.4,1.3,1.2,1,1,0.9,0.8,1,1,1.2,1.4,1.5,1.2,1.7,1.6,1.3,1.3,1.1,1.1,1.1,1,1,1,0.9,1.1,1.2,1.2,1.2,1,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.7,0.7,0.9,0.9,0.9,0.7,0.7,0.7
Department of Health and Human Services,3.3,3.7,3.9,4,4.2,6.1,7.3,8.4,8.9,9.7,11,10.4,10.4,10.2,10.8,11.4,11.3,11.5,11.6,11.9,11.9,11.8,12,12.1,12.4,13.1,13.2,13.3,14,15,16.8,18,19.1,20,20.5,21.2,21.2,21.1,21.4,22.9,23.1,23.4,23.7,23.5,23.1,24.6,23.5,22.6,24.7,24.7,24,25.7,26.7,27.9
Department of Homeland Security,0.5,0.6,0.6,0.7,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.7,0.7,0.6,0.6,0.7,0.6,0.8,0.7,0.8,0.9,1.5,1.2,1.6,2.6,1.4,1.4,1.5,1.3,1.3,1.3,1.7,1.2,1.2
Department of Housing and Urban Development,0.8,-0.5,0.1,0.4,1.8,2,2.1,0.4,1.2,1.3,1.6,1.5,1.8,2.3,1.9,1.4,1.7,1.8,2.2,2.2,2,2,2,3,1.4,1.5,1.8,1.7,1.6,1.7,1.8,1.8,1.8,1.9,1.6,1.7,1.8,1.9,1.7,1.8,1.6,1.7,2,1.7,1.6,1.7,1.6,1.7,1.7,1.6,1.4,1.6,1.1,1
